,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,French,English
0,0,0,0,partie,part
1,1,1,1,histoire,history
2,2,2,2,chercher,search
3,3,3,3,seulement,only
4,4,4,4,police,police
5,5,5,5,pensais,thought
6,6,6,6,aide,help
7,7,7,9,mois,month
8,8,8,10,frère,brother
9,10,11,13,mettre,to put
10,11,12,16,eux,them
11,12,13,17,ville,city
12,13,15,22,bébé,baby
13,14,16,23,longtemps,long time
14,15,17,26,pendant,while
15,17,22,36,pourrais,could
16,18,23,38,donner,give
17,19,24,39,type,type
18,20,25,40,leurs,their
19,21,26,41,donné,given
20,22,27,42,train,train
21,23,28,43,corps,body
22,24,29,44,endroit,place
23,25,31,46,façon,way
24,26,32,47,écoute,listen
25,27,33,48,dont,whose
26,28,34,49,trouve,find
27,29,35,51,perdu,lost
28,30,36,52,main,hand
29,31,37,53,première,first
30,32,38,54,côté,side
31,33,39,56,vieux,old
32,34,40,57,sois,be
33,35,41,59,matin,morning
34,36,42,60,tellement,so much
35,37,44,62,point,point
36,38,45,63,venu,came
37,39,46,66,venez,come
38,40,47,67,devant,in front of
39,43,50,71,chambre,bedroom
40,44,51,72,mis,placed
41,45,52,73,belle,beautiful
42,46,53,75,aimerais,would like to
43,47,54,76,aujourd'hui,today
44,48,57,80,espère,hope
45,49,58,81,attendez,Wait
46,50,61,86,dirait,would say
47,53,64,90,loin,far
48,54,65,91,fin,end
49,56,68,95,plutôt,rather
50,57,69,96,aura,will have
51,58,70,97,filles,girls
52,59,71,98,jouer,to play
53,60,72,99,bureau,office
